accX	accY	accZ	time	state
-1.8483802	3.4238129	11.552376	1567953791023	none
-1.4174107	3.572258	9.016839	1567953791128	none
-1.3527653	3.756617	7.735902	1567953791233	none
-1.0726352	4.04393	7.6688623	1567953791338	none
-2.2003386	4.051113	8.672064	1567953791446	none
-1.4772675	4.415043	9.560339	1567953791557	none
-2.0973847	2.5762396	10.058349	1567953791679	none
-0.090982445	3.9194279	8.9186735	1567953791791	none
-0.8356019	3.7614057	8.660092	1567953791902	none
-2.351178	3.9433706	7.1493044	1567953792012	none
-2.4182177	4.640105	8.578687	1567953792123	none
-2.0925963	5.4685235	9.107821	1567953792230	none
-2.7390504	3.7326744	9.399923	1567953792336	none
-1.4485363	3.7494342	8.056735	1567953792451	none
0.2370332	4.8364353	8.157294	1567953792566	none
-1.7238779	5.054314	7.211556	1567953792672	none
-2.5522969	5.4924664	7.637737	1567953792782	none
-3.1388943	4.513208	9.160496	1567953792895	none
-1.403045	5.4230323	9.481328	1567953793010	none
-1.063058	3.7733772	8.2339115	1567953793124	none
-0.057462595	4.0535073	7.570697	1567953793233	none
-1.611347	4.381523	8.901914	1567953793340	none
-1.5323359	4.8819265	8.183631	1567953793448	none
-1.5059988	4.929812	8.813326	1567953793565	none
-1.1971374	5.3919067	9.8787775	1567953793690	none
-2.2242813	4.5108137	9.945818	1567953793804	none
-2.2099156	4.07745	6.8859344	1567953793914	none
-2.1332989	4.084633	8.166871	1567953794032	none
-0.8786988	4.7765784	8.293768	1567953794151	none
-0.46209505	4.697567	9.42626	1567953794271	none
-1.9752767	4.786155	7.379155	1567953794380	none
-1.0678465	2.978478	9.696813	1567953794491	none
-0.1699935	3.4286015	11.214784	1567953794609	none
-1.7573977	3.5243726	8.518829	1567953794733	none
-0.8786988	4.4820824	8.727132	1567953794845	none
-1.3455825	4.0989985	8.825297	1567953794965	none
-1.8435916	3.8260512	7.613794	1567953795084	none
-1.2522057	3.3759274	10.027223	1567953795201	none
1.6855695	3.1580484	9.110215	1567953795319	none
-0.967287	2.360755	7.6904106	1567953795446	none
-0.93616146	3.9002736	8.085466	1567953795562	none
-2.4158232	4.455745	10.867614	1567953795673	none
-0.54828894	5.724711	8.193209	1567953795781	none
-1.3743137	5.305713	8.636149	1567953795899	none
-2.8013015	4.5419393	10.118205	1567953796019	none
-1.1540405	4.6113734	8.578687	1567953796137	none
-1.7358493	4.896292	7.9753294	1567953796256	none
-2.7869358	3.6871831	7.9394155	1567953796374	none
-0.81644773	5.609786	8.265037	1567953796491	none
-2.7366562	4.041536	7.6281595	1567953796611	none
-1.9824595	3.6081722	9.0288105	1567953796736	none
-1.350371	3.9050622	8.688824	1567953796854	none
-1.2713599	3.0431232	8.868394	1567953796972	none
-0.10774237	1.3671309	8.20518	1567953797081	none
-0.50040346	2.9569294	7.886741	1567953797191	none
0.12929083	3.0167863	8.016032	1567953797301	none
-1.0870007	3.5219781	7.800547	1567953797422	none
-1.5490957	5.190788	10.077502	1567953797537	none
0.91700727	5.133325	13.673703	1567953797655	none
-0.5865973	4.695173	9.07909	1567953797767	none
0.18675344	4.271386	10.5946665	1567953797886	none
-4.2043467	2.8372157	7.910684	1567953798008	none
0.25139886	4.9585433	8.406299	1567953798127	none
1.7813405	4.563488	8.394327	1567953798245	none
0.6847626	4.393494	10.939442	1567953798354	none
0.26097596	3.5267668	8.116591	1567953798470	none
1.3360053	2.8803127	5.8156934	1567953798587	none
3.0957973	2.0327394	10.453403	1567953798706	none
4.3240604	3.6273263	10.4845295	1567953798824	none
-0.9289786	3.4094474	8.557138	1567953798947	none
1.6664152	6.0766697	6.9649453	1567953799065	none
0.6201172	5.619363	8.250671	1567953799182	none
-0.4070267	5.731894	7.26423	1567953799300	none
2.5187771	5.6002088	9.196409	1567953799419	none
1.620924	3.7398572	9.186832	1567953799537	none
-1.2641771	5.38233	8.537984	1567953799657	none
-2.0351336	5.727105	7.6736507	1567953799776	none
-1.4557191	5.9114647	7.9489923	1567953799894	none
-1.5897985	5.9234357	8.339259	1567953800012	none
-1.8340145	5.5451403	7.4821086	1567953800128	none
-0.38787252	5.193182	7.307327	1567953800234	DEPARTING
0.87151605	3.9266107	9.8237095	1567953800340	none
-0.40223816	2.988055	9.136553	1567953800446	none
0.7446195	1.4317763	7.987301	1567953800551	none
2.5379312	-0.071828246	10.063137	1567953800657	none
2.7414446	0.48124924	9.12937	1567953800779	none
4.7526355	0.4764607	9.450203	1567953800897	none
1.5538844	-0.11971374	10.874796	1567953801016	none
1.9800652	-0.98404694	10.178062	1567953801134	none
1.4269878	-0.5219519	9.016839	1567953801251	none
0.7972935	0.33759275	10.0368	1567953801368	none
1.5610672	-0.011971374	11.329708	1567953801489	none
2.3918805	-0.45012367	10.379181	1567953801607	none
1.498816	0.20590763	10.668888	1567953801726	none
1.5538844	0.93616146	9.560339	1567953801844	none
1.0846065	1.0462981	6.9457912	1567953801953	none
-1.1612233	-0.98404694	7.7071705	1567953802069	none
0.18435916	-1.7502149	10.178062	1567953802180	none
2.083019	1.541913	9.25866	1567953802302	none
1.4748733	0.18675344	9.603436	1567953802418	none
1.6664152	0.3974496	9.474146	1567953802529	none
1.0582695	0.38787252	9.881172	1567953802648	none
1.0247496	0.07901107	9.531608	1567953802755	none
0.71828246	0.45491222	9.933846	1567953802864	none
1.2210802	0.29689008	9.675264	1567953802971	none
0.9960183	0.5411061	10.151725	1567953803088	none
1.3096683	0.45970076	9.553157	1567953803206	none
1.2258687	0.38308397	9.893144	1567953803318	none
1.3383996	0.505192	9.708784	1567953803436	none
1.2498114	0.3519584	9.926663	1567953803545	none
1.2258687	0.5147691	9.675264	1567953803653	none
1.3072741	0.44054657	9.821315	1567953803763	none
1.2091088	0.45251793	9.77343	1567953803870	none
1.2067145	0.41420954	9.828498	1567953803976	none
1.1253091	0.4764607	9.821315	1567953804096	none
1.2569942	0.43096948	9.794978	1567953804215	none
1.2761484	0.57462597	9.838076	1567953804337	none
1.3264283	0.53392327	9.929058	1567953804456	none
1.376708	0.5698374	9.818921	1567953804582	none
1.1803775	0.41181526	10.261862	1567953804700	none
1.3886794	0.4932206	9.809344	1567953804819	none
1.3479767	0.55307746	9.701602	1567953804936	none
0.94095	0.6608198	10.034406	1567953805053	none
1.3934679	0.51955765	9.593859	1567953805172	none
1.211503	0.54350036	9.77343	1567953805289	none
1.3000913	0.50758624	9.727939	1567953805406	none
1.0774237	0.6751855	9.794978	1567953805520	none
1.4389591	0.5123748	9.703996	1567953805638	none
1.2474172	0.6392714	9.833286	1567953805756	none
1.4054393	0.55307746	9.783007	1567953805876	none
1.3910737	0.53392327	9.684841	1567953805996	none
1.489239	0.5889916	9.720756	1567953806116	none
1.4820561	0.5698374	9.7135725	1567953806237	none
1.4557191	0.58420306	9.7135725	1567953806357	none
1.4509305	0.5794145	9.715967	1567953806474	none
1.4485363	0.60335726	9.6896305	1567953806595	none
1.4676905	0.5961744	9.670476	1567953806719	none
1.4652961	0.58420306	9.644139	1567953806838	none
1.515576	0.59378016	9.953	1567953806958	none
1.9130256	0.54350036	9.098245	1567953807076	none
1.3000913	0.21309046	9.737515	1567953807197	none
1.7406378	0.63208854	9.629773	1567953807316	none
1.4317763	0.679974	9.759064	1567953807436	none
1.5179702	0.3974496	9.553157	1567953807555	none
1.4126221	0.53871185	9.90272	1567953807673	none
1.3575538	0.7685622	9.77343	1567953807793	none
1.359948	0.67279124	9.591465	1567953807912	none
1.4868447	0.4285752	10.063137	1567953808016	DEPARTING
1.5131817	0.70631105	9.522031	1567953808120	none
1.5467016	0.7398309	9.366403	1567953808226	none
1.4820561	0.679974	9.565128	1567953808332	none
1.3288225	0.54350036	9.670476	1567953808437	none
1.3719195	0.59378016	9.696813	1567953808549	none
1.403045	0.48843205	9.454991	1567953808658	none
1.23784	0.7134939	9.783007	1567953808777	none
1.4748733	0.68236834	9.991309	1567953808893	none
1.3479767	0.75659084	9.962578	1567953809011	none
1.5610672	0.7039168	9.814133	1567953809132	none
1.4150164	0.90503585	9.847652	1567953809250	none
1.1444633	0.9074302	9.876384	1567953809368	none
1.2785428	1.1516461	9.761458	1567953809485	none
1.2665714	1.2761484	9.763853	1567953809603	none
1.3695252	1.0534809	9.665688	1567953809721	none
1.2522057	1.0486923	9.948212	1567953809839	none
1.2617828	1.3791022	9.553157	1567953809957	none
1.1468576	1.4916332	9.749487	1567953810073	none
1.1109436	1.3647367	9.833286	1567953810189	none
1.3096683	1.132492	9.857229	1567953810309	none
1.23784	0.9912298	9.842864	1567953810428	none
1.2330515	1.1157321	9.799767	1567953810550	none
1.3120626	1.3144568	9.727939	1567953810668	none
1.2905141	1.089395	10.158908	1567953810785	none
1.1564348	1.2905141	9.857229	1567953810903	none
1.1277034	1.1731946	9.75667	1567953811022	none
1.1205206	1.201926	9.751882	1567953811138	none
1.1109436	1.1181264	9.737515	1567953811254	none
1.1013664	1.1085492	9.742304	1567953811371	none
1.0917894	1.175589	9.926663	1567953811487	none
1.0965779	1.2210802	9.924269	1567953811606	none
1.1492519	1.1492519	9.888355	1567953811724	none
1.1372806	1.2905141	9.696813	1567953811841	none
1.2426286	1.5802214	9.522031	1567953811962	none
0.88109314	1.0271438	9.826104	1567953812080	none
1.0750294	1.2354459	9.730332	1567953812200	none
1.4198049	1.0654523	9.852441	1567953812319	none
0.6440599	1.1995317	9.644139	1567953812434	none
1.3886794	1.4748733	9.5244255	1567953812552	none
0.93616146	1.0534809	10.134965	1567953812669	none
1.5347302	1.2953026	10.015251	1567953812788	none
0.6296943	1.1947432	10.146936	1567953812904	none
1.4868447	1.4964218	9.454991	1567953813022	none
1.2641771	1.228263	10.328901	1567953813139	none
1.0965779	1.4198049	10.362421	1567953813255	none
0.7877164	0.8571504	9.885961	1567953813373	none
0.8667275	0.9529214	8.837268	1567953813489	none
0.5650489	1.0295382	9.086273	1567953813609	none
1.063058	1.2402344	9.287392	1567953813740	none
1.0582695	1.403045	10.163696	1567953813859	none
1.0008069	1.297697	10.132571	1567953813966	none
1.5323359	1.1708003	9.615408	1567953814079	none
0.9026416	1.2737542	9.826104	1567953814200	none
1.7478206	1.2498114	9.553157	1567953814320	none
