compassX	compassY	compassZ	time	state
-21.875	-67.3125	-17.0625	1567953800759	none
-22.1875	-69.125	-17.25	1567953800862	none
-21.8125	-68.6875	-18.0625	1567953800965	none
-21.4375	-61.9375	-19.25	1567953801070	none
-21.9375	-68.6875	-17.8125	1567953801174	none
-21.0	-67.125	-16.75	1567953801281	none
-20.375	-67.875	-17.0625	1567953801387	none
-20.4375	-65.8125	-16.875	1567953801493	none
-20.75	-66.875	-16.875	1567953801599	none
-21.375	-65.875	-17.5625	1567953801705	none
-20.875	-66.4375	-17.1875	1567953801812	none
-21.25	-66.3125	-16.875	1567953801918	none
-21.3125	-67.1875	-17.1875	1567953802024	none
-22.3125	-71.4375	-16.5625	1567953802130	none
-22.0625	-82.8125	-16.3125	1567953802237	none
-21.875	-83.125	-15.625	1567953802341	none
-22.625	-83.125	-15.9375	1567953802447	none
-23.1875	-84.5	-15.375	1567953802554	none
-22.125	-84.875	-15.5	1567953802660	none
-22.375	-87.9375	-16.4375	1567953802767	none
-22.25	-84.75	-15.9375	1567953802873	none
-21.8125	-84.125	-15.0625	1567953802980	none
-22.25	-85.4375	-15.375	1567953803085	none
-21.375	-84.25	-15.625	1567953803191	none
-22.1875	-82.9375	-15.1875	1567953803297	none
-21.3125	-81.75	-16.0	1567953803404	none
-22.125	-78.5625	-16.125	1567953803510	none
-21.1875	-78.25	-16.25	1567953803616	none
-20.1875	-78.375	-15.625	1567953803723	none
-21.125	-77.25	-17.5	1567953803829	none
-21.0	-77.0625	-16.9375	1567953803936	none
-21.5625	-73.875	-17.1875	1567953804042	none
-20.8125	-72.875	-17.125	1567953804150	none
-21.125	-72.6875	-17.0	1567953804256	none
-21.125	-69.8125	-18.375	1567953804362	none
-21.0625	-68.375	-18.3125	1567953804469	none
-20.625	-72.125	-16.375	1567953804575	none
-20.25	-69.875	-15.375	1567953804681	none
-19.25	-69.9375	-14.0625	1567953804788	none
-19.8125	-69.375	-14.8125	1567953804895	none
-19.8125	-69.125	-15.75	1567953805001	none
-19.625	-67.375	-15.875	1567953805108	none
-19.5	-67.9375	-16.3125	1567953805214	none
-19.9375	-64.5	-17.0	1567953805319	none
-20.125	-63.0	-16.5625	1567953805426	none
-20.875	-63.5	-16.25	1567953805533	none
-20.6875	-63.1875	-16.5625	1567953805639	none
-20.625	-63.3125	-17.375	1567953805745	none
-20.625	-61.0	-16.8125	1567953805852	none
-20.75	-60.125	-17.5	1567953805958	none
-20.375	-58.1875	-17.75	1567953806064	none
-21.375	-58.25	-17.625	1567953806171	none
-20.6875	-54.5625	-17.5625	1567953806277	none
-20.6875	-50.375	-18.875	1567953806383	none
-20.1875	-48.25	-18.5625	1567953806487	none
-20.3125	-44.375	-19.9375	1567953806592	none
-20.4375	-39.6875	-20.25	1567953806697	none
-20.125	-35.125	-20.875	1567953806803	none
-19.75	-32.5	-21.5625	1567953806909	none
-20.125	-31.6875	-21.6875	1567953807016	none
-20.25	-31.5	-21.125	1567953807122	none
-20.375	-30.9375	-21.375	1567953807228	none
-19.8125	-31.625	-21.375	1567953807334	none
-20.25	-32.25	-21.125	1567953807440	none
-20.375	-32.125	-20.875	1567953807547	none
-19.5	-31.0625	-21.125	1567953807653	none
-19.9375	-31.0625	-21.5625	1567953807759	DEPARTING
-20.25	-30.5	-22.6875	1567953807864	none
-19.5625	-31.1875	-22.25	1567953807970	none
-20.0625	-29.75	-21.5	1567953808076	none
-19.6875	-30.3125	-22.5	1567953808180	none
-19.5	-29.75	-22.9375	1567953808284	none
-20.0625	-29.1875	-22.1875	1567953808388	none
-20.875	-29.5	-21.9375	1567953808493	none
-20.6875	-28.875	-20.9375	1567953808599	none
-21.5	-29.5625	-25.8125	1567953808708	none
-22.0625	-28.75	-26.625	1567953808818	none
-22.625	-29.0625	-27.25	1567953808933	none
-20.875	-28.375	-25.1875	1567953809050	none
-20.6875	-27.0625	-25.875	1567953809165	none
-20.5	-28.25	-26.3125	1567953809281	none
-21.0625	-28.6875	-25.9375	1567953809397	none
-20.3125	-27.625	-26.1875	1567953809513	none
-19.875	-26.4375	-26.5625	1567953809630	none
-19.6875	-26.125	-25.875	1567953809746	none
-18.25	-24.625	-25.375	1567953809862	none
-18.625	-23.625	-24.8125	1567953809978	none
-16.875	-22.3125	-23.0625	1567953810094	none
-15.4375	-22.25	-21.0625	1567953810209	none
-15.3125	-20.875	-18.4375	1567953810325	none
-15.4375	-19.5625	-18.4375	1567953810441	none
-17.3125	-18.0	-26.125	1567953810559	none
-19.1875	-15.8125	-28.25	1567953810675	none
-16.3125	-14.3125	-17.625	1567953810789	none
-19.75	-13.75	-26.625	1567953810905	none
-17.5	-11.875	-17.5	1567953811022	none
-19.6875	-10.5625	-27.75	1567953811138	none
-18.5	-12.25	-19.1875	1567953811255	none
-17.625	-13.3125	-15.125	1567953811372	none
-17.1875	-9.5	-15.75	1567953811489	none
-18.375	-6.375	-16.3125	1567953811605	none
-18.875	-5.1875	-16.8125	1567953811721	none
-19.625	-1.375	-21.3125	1567953811838	none
-18.25	1.9375	-20.25	1567953811955	none
-19.0	5.0625	-15.5625	1567953812069	none
-18.375	11.5625	-19.25	1567953812186	none
-18.0625	13.75	-14.375	1567953812304	none
-17.125	20.3125	-15.125	1567953812419	none
-18.5	25.125	-14.5	1567953812566	none
-18.1875	27.75	-13.3125	1567953812682	none
-19.375	33.875	-14.0625	1567953812797	none
-20.3125	31.625	-13.875	1567953812913	none
-22.0	31.25	-14.5625	1567953813030	none
-23.3125	29.75	-14.75	1567953813147	none
-24.3125	25.875	-16.6875	1567953813262	none
-25.3125	25.375	-17.4375	1567953813379	none
-26.625	21.9375	-19.375	1567953813494	none
-25.6875	18.125	-20.25	1567953813618	none
-24.6875	11.1875	-19.625	1567953813734	none
-24.6875	3.4375	-18.9375	1567953813846	none
-24.875	5.0625	-17.875	1567953813962	none
-25.25	3.125	-18.625	1567953814078	none
-23.125	0.875	-19.625	1567953814195	none
-25.0	-1.125	-18.125	1567953814310	none
-23.9375	-2.5	-18.75	1567953814426	none
-23.0625	3.5	-20.3125	1567953814536	none
-21.625	5.25	-21.8125	1567953814646	none
-22.3125	0.875	-19.75	1567953814755	none
-22.6875	-3.1875	-17.125	1567953814864	none
-23.1875	-5.8125	-15.5	1567953814974	none
-22.4375	-7.9375	-13.8125	1567953815090	none
-21.75	-8.5	-13.9375	1567953815206	none
-21.75	-9.375	-13.4375	1567953815323	none
-24.9375	-12.125	-12.375	1567953815439	none
-27.0	-11.75	-13.375	1567953815555	none
-29.8125	-12.625	-13.0	1567953815670	none
-31.0	-14.3125	-13.625	1567953815786	none
-29.75	-17.4375	-14.5	1567953815902	none
-28.5625	-18.3125	-14.25	1567953816016	none
-26.9375	-16.3125	-15.0	1567953816134	none
-27.8125	-18.0625	-12.9375	1567953816249	none
-26.25	-18.0	-11.9375	1567953816364	none
-25.625	-19.8125	-9.6875	1567953816480	none
-26.4375	-22.4375	-4.625	1567953816595	none
-26.375	-21.75	-0.75	1567953816710	none
-25.6875	-22.75	-0.625	1567953816826	none
-26.1875	-20.3125	-0.75	1567953816943	none
-25.9375	-21.0625	-1.4375	1567953817059	none
-24.5625	-21.875	-1.75	1567953817175	none
-23.9375	-22.5625	-3.1875	1567953817291	none
-22.5	-23.625	1.5	1567953817406	none
-19.125	-22.625	0.0625	1567953817514	none
-20.0	-27.6875	4.3125	1567953817620	none
-18.125	-34.625	4.5625	1567953817726	none
-19.125	-35.25	8.0625	1567953817832	none
-19.5	-30.5625	6.125	1567953817938	none
-17.0625	-21.5625	4.9375	1567953818042	none
-18.3125	-13.0	3.875	1567953818146	none
-18.8125	-7.375	1.3125	1567953818251	none
-21.8125	-4.3125	-1.125	1567953818357	none
-24.6875	-3.125	-2.0	1567953818460	none
-28.375	-4.5	-4.5	1567953818564	none
-30.0625	-6.375	-7.5625	1567953818668	none
-30.0	-7.75	-8.6875	1567953818773	none
-30.5	-10.375	-7.625	1567953818880	none
-31.0	-17.5	-3.625	1567953818984	none
-30.1875	-15.8125	-1.875	1567953819089	none
-28.375	-12.1875	-1.5	1567953819194	none
-27.4375	-8.9375	-1.4375	1567953819299	none
-26.625	-6.5	-3.8125	1567953819404	none
-25.5	-4.5625	-4.875	1567953819510	none
-25.125	-5.4375	-5.4375	1567953819614	none
-24.8125	-4.4375	-8.125	1567953819719	none
-23.375	-5.5625	-9.6875	1567953819828	none
-22.8125	-5.125	-11.375	1567953819933	none
-22.4375	-4.875	-12.625	1567953820038	none
-21.3125	-8.875	-12.5625	1567953820144	none
-21.5	-9.625	-11.875	1567953820248	none
-20.25	-3.5625	-10.4375	1567953820354	none
-21.375	-3.875	-9.625	1567953820460	none
-20.6875	-1.5	-10.4375	1567953820565	none
-21.6875	-2.4375	-9.0625	1567953820669	none
-20.0	-5.0	-10.1875	1567953820775	none
-19.375	-6.5625	-10.3125	1567953820880	none
-19.5625	-8.1875	-9.9375	1567953820984	none
-19.4375	-8.9375	-9.6875	1567953821088	none
-19.25	-10.125	-11.25	1567953821195	none
-18.1875	-11.5625	-12.8125	1567953821299	none
-17.125	-12.0625	-12.5	1567953821409	none
-16.5625	-15.5625	-12.125	1567953821513	none
-15.625	-20.9375	-11.25	1567953821616	none
-16.0625	-25.1875	-11.1875	1567953821720	none
-15.75	-16.875	-12.125	1567953821824	none
-17.0625	-15.6875	-10.1875	1567953821932	none
-17.0	-16.75	-10.3125	1567953822048	none
-16.5625	-16.8125	-9.3125	1567953822164	none
-16.1875	-14.0	-8.875	1567953822271	none
-15.5	-13.4375	-11.5	1567953822387	none
-13.5	-15.3125	-14.0625	1567953822502	none
-13.4375	-13.4375	-15.4375	1567953822607	none
-13.1875	-10.5	-16.25	1567953822712	none
-12.875	-6.0	-16.5	1567953822817	none
-13.0	-8.0625	-16.625	1567953822921	none
-12.8125	-10.6875	-17.5625	1567953823031	none
-13.0625	-16.125	-18.9375	1567953823141	none
-11.5625	-18.625	-16.0625	1567953823257	none
-12.625	-11.75	-12.875	1567953823372	none
-13.0625	-12.1875	-12.75	1567953823483	none
-14.0625	-12.6875	-12.9375	1567953823598	none
-14.75	-13.9375	-15.0625	1567953823715	none
-13.25	-16.0625	-14.625	1567953823825	none
-13.0	-13.8125	-11.625	1567953823935	none
-14.6875	-14.6875	-9.125	1567953824045	none
-16.5625	-17.9375	-6.9375	1567953824154	none
-17.6875	-19.125	-4.25	1567953824270	none
-17.3125	-24.375	-2.375	1567953824376	none
-16.25	-26.8125	-1.6875	1567953824482	none
-17.0625	-26.0625	-0.6875	1567953824598	none
-17.375	-29.875	-0.875	1567953824709	none
-16.0	-31.125	-0.875	1567953824813	none
-16.3125	-29.25	1.125	1567953824920	none
-17.8125	-24.75	1.75	1567953825035	none
-17.4375	-23.375	2.75	1567953825144	none
-18.1875	-23.75	2.0	1567953825253	none
-19.75	-23.8125	1.0	1567953825358	none
-19.3125	-23.1875	0.75	1567953825473	none
-19.375	-22.875	2.875	1567953825589	none
-19.375	-23.4375	5.6875	1567953825706	none
-20.875	-24.5625	9.75	1567953825821	none
-20.875	-24.1875	8.9375	1567953825927	none
-21.5625	-24.0625	8.1875	1567953826032	none
-19.5625	-21.9375	9.0	1567953826143	none
-19.75	-20.875	9.5625	1567953826258	none
-17.8125	-21.5	10.5625	1567953826367	none
-18.625	-21.375	12.4375	1567953826471	none
-18.75	-21.8125	14.9375	1567953826577	none
-20.3125	-24.5625	17.4375	1567953826687	none
-22.625	-27.4375	19.5	1567953826803	none
-21.3125	-28.125	18.5	1567953826919	none
-21.5625	-27.875	16.8125	1567953827034	none
-21.5625	-27.25	17.8125	1567953827150	none
-19.8125	-26.25	20.6875	1567953827264	none
-19.5625	-23.75	21.75	1567953827379	none
-23.3125	-24.8125	21.8125	1567953827496	none
-22.0	-26.3125	22.375	1567953827612	none
-24.875	-25.125	23.4375	1567953827729	none
-25.375	-28.3125	24.6875	1567953827846	none
-25.5625	-29.75	26.1875	1567953827951	none
-24.5	-30.3125	25.9375	1567953828056	none
-22.5	-30.375	26.6875	1567953828163	none
-25.0	-29.0625	24.25	1567953828273	none
-22.5	-28.25	21.75	1567953828389	none
